threshold	545
Ca/C	Xe/E-4mbar	rate
17.423699671877557	0.	10.89
16.958174464272076	49.55905342172592	11.13
16.49895272028396	97.79056417130921	11.99
15.5994196231605	190.34304959204968	12.96
24.751363521130813	0.	7.86
24.088909758603155	49.55905342172592	9.92
23.435441824095903	97.79056417130921	12.53
34.781645653616046	0.	10.22
37.405222187895745	49.55905342172592	11.27
32.92805113003431	97.79056417130921	11.31
12.132663080998775	0.	9.82
12.024257810161624	16.668301745165344	10.89
11.808906700429118	49.55905342172592	12.07
8.355701405034498	0.	9.56
8.281109570134182	16.668301745165344	10.96
8.132929213462948	49.55905342172592	11.93
1.0855966442727523	0.	6.35
1.0759219272236402	16.668301745165344	8.65
1.0567024026559464	49.55905342172592	9.13
2.547733116191529	0.	7.38
2.525020256457228	16.668301745165344	9.96