Ca/C	Xe/E-4mbar	mean
17.423699671877557	0.	1086.1831213915548
16.958174464272076	49.55905342172592	1190.1501413612652
16.49895272028396	97.79056417130921	982.2056002372325
15.5994196231605	190.34304959204968	916.5086285554788
24.751363521130813	0.	1028.7988896833658
24.088909758603155	49.55905342172592	1178.7263764988138
23.435441824095903	97.79056417130921	1154.0052524271891
34.781645653616046	0.	1064.8040336391362
37.405222187895745	49.55905342172592	1075.8989145146988
32.92805113003431	97.79056417130921	1042.405855098397
12.132663080998775	0.	1378.7091483376096
12.024257810161624	16.668301745165344	1204.4549365079326
11.808906700429118	49.55905342172592	1217.5436453674017
8.355701405034498	0.	1324.2685507411704
8.281109570134182	16.668301745165344	1139.5383333333139
8.132929213462948	49.55905342172592	1240.1573386809223
1.0855966442727523	0.	1436.7128862876352
1.0759219272236402	16.668301745165344	1198.207425531908
1.0567024026559464	49.55905342172592	1187.0580210696821
2.547733116191529	0.	1200.7677650273354
2.525020256457228	16.668301745165344	1241.290677269184